IQ,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Prev_Sem_Result_%
73,9,Yes,0,10,5,Placed,88.9
118,8,No,0,6,4,Not Placed,74.6
86,1,No,0,8,3,Placed,94.5
90,3,No,8,9,3,Not Placed,67.3
91,3,Yes,4,4,0,Not Placed,68.5
120,6,Yes,1,7,5,Placed,94.4
67,4,No,10,9,2,Not Placed,73.2
147,4,No,0,8,2,Placed,75.8
115,1,Yes,3,8,1,Not Placed,66.6
103,10,Yes,10,1,2,Not Placed,63.8
99,4,No,1,10,2,Placed,82.8
104,1,Yes,2,6,0,Not Placed,56
107,5,No,1,9,5,Placed,94
109,3,Yes,7,8,0,Not Placed,89
108,10,Yes,2,2,5,Not Placed,59.5
101,5,Yes,1,5,2,Not Placed,84.7
97,3,Yes,5,4,1,Not Placed,80.1
97,5,No,6,8,2,Not Placed,59.2
97,4,Yes,8,9,5,Not Placed,63.7
117,9,Yes,10,3,2,Not Placed,70.4
108,6,No,9,9,4,Placed,85
55,10,Yes,3,1,5,Not Placed,81.9
109,2,Yes,4,7,1,Not Placed,76.6
102,1,Yes,10,8,5,Placed,88.4
99,1,No,5,6,2,Not Placed,87.9
94,1,No,2,4,0,Not Placed,80.9
116,9,No,2,4,5,Placed,89.3
114,5,No,2,7,2,Not Placed,66.7
88,4,No,4,10,3,Placed,94.1
106,10,No,10,6,4,Not Placed,80.7
85,5,No,5,4,4,Not Placed,91.1
79,9,Yes,8,5,4,Not Placed,77.3
90,3,No,8,10,1,Not Placed,60.9
112,3,No,4,4,5,Not Placed,77.1
114,2,Yes,7,1,4,Not Placed,68.6
107,8,Yes,6,4,2,Not Placed,84.9
110,7,No,3,6,1,Not Placed,73.8
107,2,Yes,0,2,3,Not Placed,91.8
90,4,No,2,7,0,Not Placed,83.9
106,7,Yes,10,9,4,Placed,84.2
112,1,No,9,10,2,Placed,60.9
111,1,Yes,4,2,1,Not Placed,99.2
117,8,No,9,7,5,Placed,92.1
110,6,No,2,2,5,Not Placed,89.5
105,2,No,10,9,2,Not Placed,66.5
116,10,No,3,1,5,Placed,76.8
99,10,No,8,4,4,Not Placed,56.9
86,1,No,8,2,0,Not Placed,76.9
97,3,Yes,10,1,1,Not Placed,57.3
88,4,Yes,8,2,2,Not Placed,77.7
89,5,Yes,8,10,1,Not Placed,82.4
97,10,Yes,0,6,4,Not Placed,69.5
88,3,No,8,5,5,Not Placed,74.9
95,5,No,10,1,4,Not Placed,93.8
71,7,No,10,3,3,Not Placed,55.4
103,9,No,1,10,3,Placed,89.6
100,5,No,7,6,4,Not Placed,58.5
87,4,Yes,8,5,1,Not Placed,51.8
109,10,No,7,6,2,Not Placed,59.3
114,9,Yes,8,8,2,Placed,88.3
75,8,No,4,6,1,Not Placed,70.3
88,5,No,9,5,0,Not Placed,93.6
88,9,No,6,4,1,Not Placed,76.2
85,9,No,10,5,4,Not Placed,51.1
112,1,Yes,2,9,4,Placed,85.8
97,6,No,3,10,3,Not Placed,55.5
96,5,No,3,6,2,Not Placed,89.5
69,6,Yes,9,5,3,Not Placed,58.4
109,10,Yes,3,8,2,Not Placed,67.3
81,3,Yes,10,5,1,Not Placed,88.1
100,3,No,7,5,0,Not Placed,97.7
104,10,No,1,8,5,Not Placed,68.6
120,5,Yes,1,9,2,Placed,91.5
80,7,No,4,8,0,Not Placed,59.5
54,4,Yes,5,9,0,Not Placed,90.4
102,6,Yes,3,9,0,Not Placed,82.9
127,5,Yes,6,8,1,Not Placed,59.6
118,2,No,9,7,0,Not Placed,65.1
103,1,No,3,7,0,Not Placed,56.6
92,6,No,7,1,4,Not Placed,69.1
112,5,No,1,7,4,Not Placed,60.2
85,9,Yes,9,10,2,Not Placed,82.2
107,7,Yes,3,6,4,Not Placed,99.7
107,1,Yes,10,1,2,Not Placed,50.6
115,10,Yes,6,10,0,Placed,77
141,6,No,4,10,4,Placed,78.7
105,7,No,9,8,3,Placed,95.7
92,3,Yes,10,9,5,Not Placed,75.3
99,9,Yes,1,2,5,Not Placed,77.2
73,2,Yes,2,4,1,Not Placed,73.6
89,1,No,3,7,4,Not Placed,63.4
93,10,No,4,1,1,Not Placed,52.8
92,10,No,6,8,5,Not Placed,70.4
102,9,No,2,9,4,Not Placed,52.6
87,7,Yes,8,8,5,Not Placed,77.5
116,10,No,9,2,4,Not Placed,65.4
100,1,No,2,8,3,Not Placed,76.7
99,4,No,4,8,0,Not Placed,56.7
95,10,Yes,4,2,2,Not Placed,96.6
102,3,No,6,9,4,Placed,94.7
112,7,No,5,1,4,Not Placed,59.5
86,5,No,10,7,1,Not Placed,67.2
90,9,Yes,2,2,0,Not Placed,80.7
95,3,Yes,0,8,4,Not Placed,54.8
79,6,No,5,8,4,Not Placed,67.7
87,10,No,10,4,2,Not Placed,62.6
92,2,No,5,8,5,Placed,95.8
113,3,No,3,5,0,Not Placed,92.6
103,4,Yes,1,9,0,Not Placed,79
102,6,No,8,1,5,Not Placed,76
112,1,Yes,5,5,4,Placed,96.5
97,6,No,0,9,0,Not Placed,96.6
105,4,Yes,7,6,0,Not Placed,98.5
98,8,No,9,4,2,Not Placed,56.3
103,9,Yes,6,1,3,Not Placed,58
91,8,No,10,10,5,Placed,83.8
63,8,Yes,10,6,5,Not Placed,77.1
97,2,No,5,7,2,Not Placed,50.9
121,10,Yes,10,7,3,Not Placed,53.1
113,2,No,10,9,2,Placed,94.4
114,6,No,0,4,5,Placed,93.4
118,5,Yes,9,4,5,Not Placed,67.9
101,6,Yes,4,5,4,Not Placed,94.6
102,9,No,3,9,2,Not Placed,79.7
90,10,Yes,6,2,0,Not Placed,90.3
95,7,Yes,1,4,0,Not Placed,71.4
109,5,No,0,9,1,Not Placed,55.7
118,10,No,6,6,4,Not Placed,71.7
97,7,Yes,7,6,0,Not Placed,72.9
93,8,No,4,7,4,Not Placed,77.5
100,1,No,7,5,2,Not Placed,55.3
109,10,No,3,4,0,Not Placed,99.6
78,7,No,7,3,4,Not Placed,62.2
65,4,No,10,2,2,Not Placed,59.9
91,5,No,2,7,5,Not Placed,76.3
81,2,No,6,5,3,Not Placed,76.9
92,10,Yes,5,1,1,Not Placed,72
97,5,Yes,0,4,2,Not Placed,88.6
93,9,No,4,9,5,Not Placed,75.8
121,1,No,10,8,3,Placed,80.5
104,3,No,3,7,4,Not Placed,86.2
104,4,No,5,5,3,Not Placed,51.3
109,9,No,8,1,0,Not Placed,78.5
82,2,Yes,3,5,5,Not Placed,94.2
115,7,Yes,1,8,5,Placed,50.9
98,9,No,7,4,4,Not Placed,70.3
110,10,No,0,5,1,Not Placed,96.3
83,4,Yes,5,8,1,Not Placed,67.7
76,5,No,3,5,4,Not Placed,72.9
112,10,No,5,4,0,Not Placed,99.1
105,4,No,2,4,4,Not Placed,60
86,7,Yes,8,6,4,Not Placed,53.3
86,8,No,2,10,5,Placed,93
116,8,No,2,1,4,Placed,93.4
82,3,Yes,4,4,2,Not Placed,73.6
124,2,Yes,6,1,1,Not Placed,75.7
86,6,Yes,5,6,1,Not Placed,91.8
109,1,No,6,8,0,Not Placed,86.9
95,9,No,8,4,1,Not Placed,63.3
109,7,No,2,8,0,Not Placed,50.8
91,8,No,4,2,5,Not Placed,74
97,7,Yes,4,5,0,Not Placed,92.9
100,5,No,2,3,1,Not Placed,94.8
84,5,No,10,7,4,Not Placed,97.8
111,7,No,9,9,4,Placed,94
92,7,Yes,8,1,2,Not Placed,79
96,2,Yes,8,8,0,Not Placed,72.2
85,2,No,5,4,3,Not Placed,88.7
61,7,No,4,10,3,Placed,87
97,5,Yes,3,5,5,Not Placed,76.9
136,2,No,3,1,1,Not Placed,54.4
111,1,Yes,4,5,1,Not Placed,96.3
99,9,No,1,9,3,Not Placed,72.8
96,8,No,7,8,2,Not Placed,68.2
100,2,Yes,6,8,5,Placed,81.5
108,2,Yes,6,6,0,Not Placed,83.7
82,3,Yes,0,9,0,Not Placed,60.5
116,4,Yes,7,4,5,Placed,91.8
110,9,Yes,10,6,1,Not Placed,64.5
110,6,No,0,3,5,Not Placed,59.3
106,3,Yes,8,2,1,Not Placed,70.3
100,8,No,5,9,5,Placed,86.5
110,6,Yes,7,5,4,Not Placed,98.3
108,8,Yes,0,2,2,Not Placed,90.5
94,10,Yes,5,5,0,Not Placed,97
91,2,No,0,6,4,Not Placed,57
101,8,Yes,2,8,3,Not Placed,53.6
123,5,No,1,5,4,Placed,77.9
81,10,Yes,1,2,5,Not Placed,64.5
77,4,No,3,7,3,Not Placed,91.4
102,3,No,6,5,3,Not Placed,83.6
100,9,No,2,2,0,Not Placed,98.5
102,10,No,6,6,4,Not Placed,62.7
103,7,Yes,8,7,0,Not Placed,74.3
96,7,No,3,8,2,Not Placed,75.1
122,6,No,6,3,2,Not Placed,62
75,9,Yes,0,4,2,Not Placed,79.5
87,3,Yes,1,6,2,Not Placed,72.2
98,1,No,7,3,3,Not Placed,72.3
75,7,Yes,2,6,5,Not Placed,68.1
97,9,No,4,9,2,Not Placed,50.8
124,6,Yes,7,5,0,Not Placed,76.1
100,10,No,4,2,5,Not Placed,66.8
103,2,Yes,0,10,4,Not Placed,50.1
81,8,No,1,2,4,Not Placed,65.4
90,9,Yes,9,7,0,Not Placed,63.9
94,10,No,10,4,1,Not Placed,69.7
95,8,No,2,9,1,Not Placed,56.6
119,9,No,9,9,1,Not Placed,75.4
108,1,Yes,1,6,1,Not Placed,84.6
83,3,No,8,10,3,Placed,81.5
103,3,No,4,5,3,Not Placed,90.2
107,9,No,0,7,4,Not Placed,72.6
117,3,No,10,5,4,Not Placed,76
123,10,Yes,10,9,3,Placed,90.5
84,1,Yes,10,9,3,Not Placed,71.4
87,3,No,7,7,4,Not Placed,85.1
81,2,Yes,2,4,0,Not Placed,71.7
96,9,No,10,1,3,Not Placed,70.9
106,1,No,8,4,0,Not Placed,88
114,2,No,8,3,2,Not Placed,58.7
98,1,Yes,5,1,0,Not Placed,66.9
95,9,No,3,10,0,Not Placed,61.2
102,7,No,8,4,3,Not Placed,68
87,1,No,10,7,2,Not Placed,61.5
131,10,Yes,8,2,1,Not Placed,79
75,6,Yes,1,7,0,Not Placed,89.9
102,5,Yes,9,6,2,Not Placed,89.3
130,10,Yes,5,9,2,Placed,68.2
100,5,No,10,2,3,Not Placed,99.4
97,4,No,3,6,2,Not Placed,79.7
94,3,No,2,6,5,Not Placed,70
97,8,No,9,6,1,Not Placed,91.8
120,7,Yes,5,3,3,Placed,86.5
66,5,No,10,6,5,Not Placed,87.5
123,9,No,7,9,0,Not Placed,59.8
78,7,No,8,3,3,Not Placed,73.4
96,10,Yes,8,2,0,Not Placed,93.1
93,2,No,1,8,3,Not Placed,75.2
108,7,No,7,3,2,Not Placed,84.2
76,7,No,10,5,1,Not Placed,79.4
106,4,No,7,5,3,Not Placed,92.1
130,8,Yes,4,2,5,Not Placed,64.2
79,4,Yes,3,2,4,Not Placed,78.8
102,7,No,8,6,2,Not Placed,56.2
90,4,No,3,2,3,Not Placed,84.5
106,8,No,9,6,2,Not Placed,86.6
100,3,Yes,3,7,4,Not Placed,52.1
90,2,No,2,4,5,Not Placed,83.8
107,10,No,9,10,2,Not Placed,70.7
127,6,Yes,2,4,2,Not Placed,56.2
97,7,No,2,3,3,Not Placed,71
110,7,Yes,10,1,2,Not Placed,59.7
80,6,Yes,6,4,5,Not Placed,70.8
85,8,No,4,3,3,Not Placed,69.2
107,6,Yes,8,8,1,Not Placed,86.9
122,6,No,1,5,4,Placed,88.7
105,3,No,3,7,5,Not Placed,80.4
95,2,No,1,3,5,Not Placed,51.1
99,7,Yes,10,3,0,Not Placed,96.6
81,6,Yes,7,6,4,Not Placed,84.3
109,1,No,3,10,2,Not Placed,51.7
113,2,No,0,4,5,Placed,90.9
93,2,Yes,9,8,3,Not Placed,60
92,1,Yes,2,3,0,Not Placed,79
103,3,Yes,6,5,0,Not Placed,73.3
93,5,No,2,1,5,Not Placed,71
99,4,No,4,1,2,Not Placed,94.5
131,2,Yes,1,8,5,Placed,71.9
96,8,No,7,7,0,Not Placed,53.8
94,9,Yes,3,1,3,Not Placed,97.3
90,8,No,0,6,2,Not Placed,96
111,7,No,3,2,5,Placed,84.2
97,10,No,7,1,4,Not Placed,73.4
90,2,No,8,10,2,Not Placed,54.6
119,6,Yes,0,5,2,Placed,89.5
121,4,No,5,5,0,Not Placed,53.8
90,5,No,3,2,5,Not Placed,53.4
72,9,No,10,5,1,Not Placed,76.9
115,9,Yes,7,7,0,Not Placed,58
89,4,Yes,0,4,5,Not Placed,50.4
111,8,Yes,4,2,5,Not Placed,71.2
70,5,Yes,0,5,1,Not Placed,56.9
113,9,Yes,3,6,2,Not Placed,58
81,2,Yes,1,8,2,Not Placed,53.8
110,4,No,9,9,5,Not Placed,60.3
100,3,No,8,10,4,Placed,85.8
85,7,Yes,1,8,0,Not Placed,90.4
93,2,Yes,3,7,4,Not Placed,72.6
110,3,No,2,9,3,Not Placed,75.3
101,9,No,0,9,2,Not Placed,51.6
108,8,No,0,6,5,Not Placed,53.5
129,2,No,1,3,5,Not Placed,62.9
76,6,Yes,7,8,4,Not Placed,77.2
124,3,No,1,3,3,Placed,87
101,6,No,0,1,1,Not Placed,80.3
86,5,No,5,4,0,Not Placed,69.6
80,10,No,0,9,3,Not Placed,55.9
97,4,No,9,8,0,Not Placed,89
113,7,No,8,6,2,Not Placed,68.2
98,10,No,5,3,5,Not Placed,86.8
122,7,No,9,3,1,Not Placed,75.6
78,4,No,5,7,2,Not Placed,86.9
99,3,No,0,5,3,Not Placed,95.4
81,4,No,6,3,1,Not Placed,96.1
105,2,Yes,2,1,3,Not Placed,76.8
113,4,No,0,9,0,Not Placed,75.6
93,4,Yes,8,5,2,Not Placed,63.3
60,5,Yes,7,7,0,Not Placed,96.8
102,1,Yes,3,10,1,Not Placed,72.9
106,2,Yes,2,9,4,Not Placed,56.4
106,8,Yes,1,4,0,Not Placed,71.6
118,8,Yes,1,5,1,Not Placed,56.4
83,8,No,10,3,1,Not Placed,75.1
110,5,Yes,2,7,3,Not Placed,78.1
117,8,Yes,0,1,0,Not Placed,66.9
73,9,No,9,8,2,Not Placed,53.6
104,4,No,6,3,0,Not Placed,97.2
92,4,Yes,1,4,3,Not Placed,88.7
98,7,No,5,10,1,Not Placed,91.9
105,5,No,5,4,2,Not Placed,68.3
92,10,Yes,10,7,4,Not Placed,88
89,1,No,3,7,5,Not Placed,74.3
100,8,No,3,4,2,Not Placed,60.1
83,4,No,0,6,5,Not Placed,56.2
83,8,Yes,10,8,0,Not Placed,67.3
110,2,Yes,5,10,2,Not Placed,56.9
82,4,Yes,7,4,0,Not Placed,99.9
109,2,Yes,9,1,2,Not Placed,52.5
106,5,Yes,3,7,0,Not Placed,72.1
74,10,No,0,2,5,Not Placed,72.6
89,10,No,3,3,1,Not Placed,65
117,8,No,1,8,1,Not Placed,78.6
85,7,Yes,3,2,0,Not Placed,57.5
93,5,Yes,7,2,0,Not Placed,89.2
106,7,No,2,4,4,Not Placed,66.6
111,5,No,4,6,0,Not Placed,79.6
96,7,No,9,10,3,Placed,85.8
91,4,No,10,2,5,Not Placed,94.5
121,4,Yes,1,9,0,Placed,91.8
126,10,Yes,8,2,1,Not Placed,80.4
114,4,No,2,9,2,Placed,69.4
101,8,No,0,7,1,Not Placed,75.2
87,1,Yes,6,3,3,Not Placed,88.4
87,10,Yes,10,9,2,Placed,93.9
107,5,Yes,4,9,1,Not Placed,55.2
106,10,Yes,8,6,0,Not Placed,69.2
121,2,No,2,2,5,Placed,88.8
109,10,Yes,10,7,0,Not Placed,71.6
77,4,No,0,4,2,Not Placed,66.6
115,5,No,6,4,5,Not Placed,70.6
85,8,No,7,7,4,Not Placed,80.1
94,2,No,10,5,3,Not Placed,100
103,2,No,1,1,1,Not Placed,74.6
129,2,No,1,3,1,Not Placed,60.4
146,8,Yes,8,7,3,Not Placed,58.1
109,3,Yes,3,9,1,Not Placed,52.1
97,5,No,0,9,2,Not Placed,77.9
108,2,Yes,8,7,4,Not Placed,77.2
113,6,Yes,8,5,2,Not Placed,60.3
95,10,No,5,4,4,Not Placed,84.8
126,6,No,5,9,5,Placed,87.1
103,2,No,8,6,0,Not Placed,63
107,4,No,1,10,4,Not Placed,67.2
109,2,Yes,8,2,4,Not Placed,99.5
106,10,Yes,3,3,4,Not Placed,68.7
112,4,No,3,7,1,Not Placed,88
90,7,No,8,4,4,Not Placed,72.6
91,5,Yes,6,7,3,Not Placed,89.7
83,10,No,9,5,0,Not Placed,88.5
106,4,No,4,1,0,Not Placed,83.4
111,10,No,7,10,1,Placed,92.7
106,10,No,0,3,2,Not Placed,97
125,3,Yes,6,9,3,Placed,79
99,6,No,3,4,2,Not Placed,61.9
110,2,No,1,5,4,Not Placed,69.9
83,4,No,1,2,2,Not Placed,87.9
94,8,No,10,10,3,Placed,82.5
110,2,No,8,8,1,Not Placed,58.9
112,9,Yes,5,1,1,Not Placed,52.6
95,2,Yes,10,4,4,Not Placed,84.1
98,8,No,3,6,3,Not Placed,62.6
77,8,Yes,1,8,1,Not Placed,75
94,7,Yes,6,4,4,Not Placed,87.3
113,10,No,8,2,2,Not Placed,78.1
108,6,No,1,4,3,Not Placed,54.2
107,1,No,3,1,1,Not Placed,59.3
100,2,Yes,0,8,3,Not Placed,61
100,7,Yes,0,9,1,Not Placed,62.9
90,4,Yes,2,3,5,Not Placed,78.3
110,9,No,0,8,1,Not Placed,75.2
106,3,No,3,9,3,Not Placed,60.2
107,4,Yes,5,8,1,Not Placed,53.4
92,3,Yes,4,2,2,Not Placed,58.6
67,7,Yes,8,2,4,Not Placed,99.2
116,2,No,10,10,5,Placed,73.4
92,10,Yes,1,4,0,Not Placed,93.4
87,2,Yes,1,1,3,Not Placed,92.4
110,2,Yes,2,3,3,Not Placed,75.6
94,4,No,3,4,4,Not Placed,85.3
115,8,Yes,8,2,2,Not Placed,59.6
109,8,Yes,10,7,0,Not Placed,84.4
110,8,Yes,5,10,2,Not Placed,63.6
79,8,Yes,8,3,3,Not Placed,91.6
118,7,No,4,7,0,Not Placed,54.2
103,6,Yes,8,7,1,Not Placed,88.7
94,7,No,8,9,5,Not Placed,55
102,5,No,0,4,3,Not Placed,94.1
73,8,No,8,4,2,Not Placed,65.2
106,2,Yes,6,1,4,Not Placed,82.7
84,5,Yes,10,6,1,Not Placed,74.4
79,7,No,7,6,0,Not Placed,68.3
77,9,No,2,7,3,Not Placed,82.3
116,10,No,0,9,4,Placed,97.4
90,1,No,3,10,4,Not Placed,52.1
123,9,No,0,10,2,Placed,95.9
91,3,Yes,0,10,5,Placed,80.5
74,1,Yes,3,9,4,Placed,90.4
83,7,No,7,5,2,Not Placed,69.2
118,3,No,0,2,0,Not Placed,73.6
97,8,No,9,1,3,Not Placed,93.4
91,2,No,9,2,0,Not Placed,70.7
102,4,No,8,2,5,Not Placed,76.7
107,2,No,5,1,2,Not Placed,51
116,4,Yes,4,8,0,Not Placed,57.9
121,1,No,8,3,3,Not Placed,82.1
94,10,Yes,8,10,3,Placed,85.8
80,5,No,8,10,4,Not Placed,79.1
93,3,Yes,2,8,5,Not Placed,57.2
103,9,No,7,6,2,Not Placed,72.3
85,4,No,9,1,0,Not Placed,67.8
85,6,No,3,7,4,Not Placed,74.8
105,9,Yes,3,3,4,Not Placed,93.5
99,2,Yes,6,9,0,Not Placed,88.8
100,7,Yes,7,9,2,Not Placed,54.2
88,3,No,3,4,2,Not Placed,94.5
96,1,No,10,2,5,Not Placed,73.6
86,9,No,9,10,3,Placed,87.2
113,9,Yes,5,9,2,Placed,57
115,4,No,0,5,4,Placed,83.5
72,9,Yes,1,8,3,Not Placed,61.8
86,7,Yes,4,9,1,Not Placed,71.9
77,4,Yes,3,1,3,Not Placed,50.8
90,2,Yes,2,3,4,Not Placed,57.6
98,5,Yes,10,7,5,Not Placed,54.6
78,8,No,5,2,0,Not Placed,62
86,10,Yes,9,4,0,Not Placed,55
84,10,Yes,5,4,5,Not Placed,84.6
103,6,Yes,10,7,5,Not Placed,51.5
101,5,No,9,2,0,Not Placed,80.9
89,4,Yes,7,8,4,Not Placed,57
102,6,No,1,8,5,Placed,97.3
91,3,Yes,6,6,3,Not Placed,96.7
95,2,No,6,4,0,Not Placed,61.3
125,1,No,1,2,2,Placed,80.7
120,9,No,5,3,1,Not Placed,51.4
80,1,No,4,3,0,Not Placed,96.6
112,4,No,1,3,5,Not Placed,76.1
112,6,No,8,4,0,Not Placed,52.2
82,9,No,7,7,1,Not Placed,67.1
112,4,No,6,9,2,Placed,53.8
123,7,No,5,10,1,Not Placed,69.6
83,7,No,4,4,0,Not Placed,83.5
86,6,Yes,8,7,0,Not Placed,73.5
115,9,No,4,10,3,Placed,69.2
104,10,No,5,6,5,Not Placed,56
108,7,No,2,10,4,Not Placed,62.2
105,3,No,8,9,3,Not Placed,55
105,6,No,10,8,3,Placed,90.4
80,7,No,7,2,3,Not Placed,56.8
115,7,No,8,3,3,Placed,79.8
117,6,No,0,6,3,Not Placed,67.1
96,3,No,0,5,2,Not Placed,61.3
99,6,No,1,2,5,Not Placed,82
77,2,No,3,2,4,Not Placed,72.9
107,10,Yes,9,5,4,Not Placed,70
108,1,Yes,4,5,5,Not Placed,79.6
99,8,Yes,6,1,4,Not Placed,74.6
116,3,No,3,10,2,Placed,65.2
94,8,No,0,3,2,Not Placed,78
108,3,No,7,9,5,Placed,83.5
84,2,Yes,10,10,2,Not Placed,51.3
99,8,Yes,2,3,0,Not Placed,73.3
97,3,Yes,8,6,4,Not Placed,52.9
103,8,Yes,1,6,1,Not Placed,59.3
94,2,No,10,2,3,Not Placed,78
98,4,No,0,7,0,Not Placed,93.3
112,9,No,9,9,0,Placed,94.1
93,1,No,7,9,3,Not Placed,53.5
75,2,No,2,8,0,Not Placed,71
126,2,Yes,0,5,2,Placed,79.2
120,9,No,10,8,0,Not Placed,57.4
80,10,No,2,9,4,Placed,88.3
110,5,No,7,1,4,Not Placed,87.2
92,4,No,10,1,5,Not Placed,95.2
103,10,Yes,3,5,5,Not Placed,50.4
104,10,No,9,7,1,Not Placed,60.8
96,4,Yes,10,9,4,Placed,91.4
88,7,No,6,9,3,Not Placed,83.5
89,3,No,7,3,3,Not Placed,94.7
86,9,Yes,6,1,4,Not Placed,52.9
87,5,Yes,0,3,2,Not Placed,79.8
98,9,No,3,8,4,Not Placed,78.5
89,1,No,9,7,2,Not Placed,51.8
110,10,No,8,5,5,Not Placed,75.7
122,8,No,6,10,3,Placed,80.5
91,2,No,0,9,4,Not Placed,59.6
103,8,Yes,7,4,5,Not Placed,63.7
107,4,Yes,3,6,1,Not Placed,82
107,2,No,6,5,3,Not Placed,73.4
101,2,No,5,6,1,Not Placed,92.9
111,6,No,6,4,3,Not Placed,67.1
107,3,Yes,9,3,0,Not Placed,63.3
81,10,No,9,5,5,Not Placed,99.2
113,3,No,0,5,0,Not Placed,95.6
113,9,No,5,2,0,Not Placed,51.4
88,5,No,2,10,1,Not Placed,88.5
100,7,No,9,4,2,Not Placed,55.5
110,5,Yes,3,3,3,Not Placed,51.4
96,2,No,0,7,0,Not Placed,63.7
116,8,Yes,9,5,1,Not Placed,63.5
135,9,No,7,6,3,Placed,91
88,2,No,1,7,0,Not Placed,85.5
79,2,No,2,2,0,Not Placed,99.1
104,4,No,6,10,0,Not Placed,85.6
110,8,No,1,4,1,Not Placed,70.9
96,5,No,3,6,2,Not Placed,84.9
121,5,No,6,3,5,Placed,100
79,7,Yes,2,6,5,Not Placed,85.5
110,4,Yes,1,10,0,Not Placed,88.1
90,9,No,7,1,0,Not Placed,96.9
125,4,Yes,1,8,2,Placed,55.7
129,8,Yes,9,10,5,Placed,85.2
88,3,No,6,5,2,Not Placed,92.5
91,6,No,10,1,4,Not Placed,97.7
112,1,No,2,10,0,Not Placed,60.5
94,7,No,3,10,5,Not Placed,75.2
99,7,Yes,5,1,3,Not Placed,84
100,2,No,10,10,4,Not Placed,62.4
71,5,No,2,3,3,Not Placed,80
99,4,Yes,0,6,2,Not Placed,62.9
89,10,No,7,2,5,Not Placed,66.7
92,9,No,3,8,4,Not Placed,72.1
121,2,No,0,10,1,Not Placed,76.5
81,3,No,1,7,4,Not Placed,72.5
112,1,No,5,2,4,Not Placed,74.7
95,10,No,0,1,2,Not Placed,64.9
95,5,Yes,8,7,0,Not Placed,57.9
111,3,No,6,7,2,Not Placed,52.4
105,4,Yes,7,3,2,Not Placed,59.8
108,4,No,7,10,2,Placed,79.1
114,6,No,5,8,3,Placed,89.3
95,10,No,7,8,5,Not Placed,58.5
90,7,No,6,5,1,Not Placed,55.4
83,7,Yes,0,7,3,Not Placed,87.5
87,8,No,2,3,4,Not Placed,65.3
144,3,Yes,8,6,2,Placed,97.6
118,5,Yes,7,3,5,Placed,85.7
79,10,No,4,9,0,Not Placed,66.3
80,6,No,0,7,2,Not Placed,64.5
107,6,No,1,1,3,Not Placed,76.2
108,8,Yes,9,8,5,Not Placed,54
108,5,No,9,9,1,Not Placed,55.9
96,5,Yes,8,10,3,Not Placed,58.8
98,1,Yes,9,2,2,Not Placed,88.7
104,1,No,7,1,5,Not Placed,75.7
101,6,Yes,8,4,1,Not Placed,50.5
66,10,Yes,1,9,0,Not Placed,83.7
96,10,No,2,6,3,Not Placed,71.2
87,5,Yes,2,10,5,Not Placed,75.5
102,10,Yes,0,8,3,Not Placed,60.7
144,6,No,1,7,5,Not Placed,77.6
105,9,No,9,5,4,Not Placed,99
95,8,No,4,5,5,Not Placed,53.7
113,7,Yes,6,6,1,Not Placed,64.2
107,7,No,5,6,3,Not Placed,62.1
106,6,No,1,5,4,Not Placed,62.4
109,6,Yes,7,8,0,Not Placed,68.9
130,1,No,3,3,5,Placed,90.9
83,7,No,10,9,3,Placed,95.6
107,5,No,1,5,3,Not Placed,60.1
86,7,No,3,9,2,Placed,77.1
108,6,No,7,5,3,Not Placed,81.8
86,8,No,0,3,0,Not Placed,76.1
93,3,Yes,10,9,5,Not Placed,71.7
95,8,Yes,8,2,4,Not Placed,59.6
114,7,No,7,5,5,Not Placed,74.4
113,1,No,7,3,1,Not Placed,70.1
81,3,No,9,7,0,Not Placed,89.8
100,10,Yes,8,4,1,Not Placed,88.2
89,4,No,6,8,0,Not Placed,56.7
81,9,Yes,10,1,5,Not Placed,54.4
96,6,No,8,5,5,Not Placed,95.4
95,7,No,0,8,4,Not Placed,76.8
136,5,No,0,2,2,Placed,92.9
106,3,Yes,3,6,4,Not Placed,52.9
79,5,Yes,1,7,5,Not Placed,76.3
91,7,No,7,6,1,Not Placed,77
115,9,No,0,10,1,Placed,93
131,9,Yes,3,3,5,Not Placed,54.9
76,8,No,10,6,3,Not Placed,62
71,5,No,10,7,5,Not Placed,70.3
128,7,Yes,8,3,2,Placed,93.3
105,4,Yes,1,10,4,Placed,96.9
86,10,No,5,2,5,Not Placed,99.6
108,5,Yes,3,3,4,Not Placed,98
60,4,Yes,3,1,1,Not Placed,50.3
100,3,No,5,7,2,Not Placed,52.4
104,1,No,9,4,4,Not Placed,57.4
113,5,No,3,3,2,Not Placed,67.4
84,2,Yes,8,6,2,Not Placed,91.5
101,6,No,7,3,4,Not Placed,94.6
86,5,No,7,10,5,Not Placed,59.3
103,2,Yes,4,3,2,Not Placed,81
86,8,No,5,9,5,Placed,95.9
93,5,No,0,2,0,Not Placed,73.2
85,2,Yes,0,5,1,Not Placed,55.2
109,1,Yes,8,10,2,Not Placed,72.9
112,2,No,3,10,2,Placed,68.8
96,1,Yes,2,2,0,Not Placed,78.9
100,10,No,4,6,3,Not Placed,71.9
78,10,No,8,4,2,Not Placed,50.9
95,3,No,8,7,4,Not Placed,99.7
99,3,Yes,2,1,5,Not Placed,77.2
139,10,No,6,8,5,Placed,73.7
